N° Projet;Montant Loyer;Durée;;Montant Financé
62834;3523,55;21;5,6289660179;62596,77
62784;58,18;21;5,8185685492;999,83
62786;NULL;NULL;NULL;NULL
62893;73,85;21;6,433;1147,9869
62771;NULL;NULL;NULL;NULL
62789;NULL;NULL;NULL;NULL
62798;NULL;NULL;NULL;NULL
62609;289,74;16;7,3679941823;3932,41
62828;125,36;22;5,5936729331;2241,16
62830;235,29;21;6,1;3857,2131
61012;670,7;21;6,028;11126,4101
62840;163,6;21;6,1;2681,9672
62848;NULL;NULL;NULL;NULL
62865;134,9;16;7,3679941823;1830,88
62868;247,98;22;5,5936729331;4433,21
62873;144,44;16;7,1399999436;2022,9
62878;NULL;NULL;NULL;NULL
62774;1406,66;22;5,4036854278;26031,58
59481;378,625;21;5,82;6505,5842
62887;97,7;22;5,5936729331;1746,53
62891;207;17;6,874;3011,3471
62672;33,53;12;9,5432159903;351,3
62897;149;21;5,6289999711;2647,08
60800;336;21;5,6;6000
62904;NULL;NULL;NULL;NULL
62905;NULL;NULL;NULL;NULL
62627;753,69;22;6,1200242453;12315,15
62913;207;19;6,197;3340,326
62917;101,86;20;6,6;1543,3333
62713;684,78;21;5,755;11898,8705
62844;NULL;NULL;NULL;NULL
60544;NULL;NULL;NULL;NULL
62722;2210,45;20;6,075;36386,0082
62908;274,5;21;6,1;4500
62943;477;21;5,755;8288,4448
62605;302,7;21;5,795;5223,4685
59914;510;63;5,755;8861,8593
62638;334,21;22;6,0000237699;5570,08
62781;NULL;NULL;NULL;NULL
62952;2523;22;5,3799995092;46895,92
62049;443;21;6,03;7349,04
62956;723,23;16;7,368;9815,8252
62778;32,85;12;9,3545580499;351,17
61695;NULL;NULL;NULL;NULL
62801;376,86;22;6,0000237699;6280,89
62495;187,5;20;6,4698414882;2898,06
61640;631,7;21;5,6290006935;11222,27
62598;307,47;21;5,6289934694;5462,26
62847;204;20;6,373;3201,0042
62683;154,5;5;6,1;2532,7869
62961;463,5;5;5,755;8053,8662
62962;154,5;5;6,1;2532,7869
62427;197,38;20;6,39;3088,8889
62967;271,56;21;6,09;4459,1133
62965;319,98;20;6,0660723613;5274,91
62970;90,96;20;6,0660723613;1499,49
62969;2364,24;21;5,725;41296,7686
67286;171;20;6,31;2709,9842
62979;NULL;NULL;NULL;NULL
62995;126;21;6,1;2065,5738
61629;310,26;21;5,795;5353,9258
62999;101,4;21;5,8185685492;1742,7
62566;NULL;NULL;NULL;NULL
63010;295;16;7,282;4051,0849
62435;358,53;21;5,6290006935;6369,34
63016;333;NULL;5,82;5721,6495
63022;165,5;21;6,1;2713,1148
60898;NULL;NULL;NULL;NULL
63054;1025,25;22;5,4036854278;18973,16
62896;NULL;NULL;NULL;NULL
63056;NULL;NULL;NULL;NULL
63071;341;21;5,642;6043,956
63072;NULL;NULL;NULL;NULL
63046;357,66;21;5,795;6171,8723
62803;146,86;22;5,5936729331;2625,56
62282;NULL;NULL;NULL;NULL
62792;NULL;NULL;NULL;NULL
62835;193;21;5,6289999711;3428,76
62716;188,1;22;5,5936729331;3362,73
62880;NULL;NULL;NULL;NULL
62766;338,34;20;6,0660723613;5577,58
62901;NULL;NULL;NULL;NULL
62902;3519,29;20;5,7899999652;60782,26
62838;442;21;6,028;7332,4486
62742;750,36;21;5,8189939961;12895,01
62923;NULL;NULL;NULL;NULL
62924;161,52;22;5,5936729331;2887,55
62926;11945,06;20;5,6;213304,6429
62948;44,55;18;6,65;669,9248
62955;NULL;NULL;NULL;NULL
62960;356;21;6;5933,3333
60897;615,36;22;5,5936729331;11001
59274;NULL;NULL;NULL;NULL
62686;NULL;NULL;NULL;NULL
62973;NULL;NULL;NULL;NULL
62996;165;20;6,37;2590,2669
62644;691,43;22;5,4039999398;12794,74
62968;327;22;6,0000237699;5449,98
62612;268,74;22;6,0000237699;4478,98
22556;NULL;NULL;NULL;NULL
63038;492,39;21;5,85;8416,9231
63020;NULL;NULL;NULL;NULL
63045;NULL;NULL;NULL;NULL
63049;171;12;10,3599999557;1650,58
63077;298,2;21;5,8185685492;5124,97
63085;NULL;NULL;NULL;NULL
63095;NULL;NULL;NULL;NULL
63100;364,12;22;5,4039994605;6738,07
62519;NULL;NULL;NULL;NULL
63108;274;21;6,1;4491,8033
63109;96,9;22;5,5936729331;1732,31
63111;826,5;22;5,4036854278;15295,12
63116;NULL;NULL;NULL;NULL
63064;624,24;22;5,4040000394;11551,44
63117;327,85;21;5,8185685492;5634,51
65242;NULL;NULL;NULL;NULL
62821;734,24;20;6,6;11124,8485
62750;678;21;5,69795;11899,0163
62866;348,13;22;5,5936729331;6223,64
63262;212,45;21;6,1;3482,7869
63055;NULL;NULL;NULL;NULL
63044;79,98;18;6,455541932;1238,94
63122;18150;21;5,8;312931,0345
63132;252;18;6,455541932;3903,62
63135;259,26;21;5,8185685492;4455,81
63136;120;20;6,306;1902,9496
63146;634;16;7,1500000688;8867,13
63167;NULL;NULL;NULL;NULL
63170;70;21;6,439;1087,1253
63172;147;13;9,336;1574,5501
63171;410;21;5,795;7075,0647
63186;174,63;20;6,2639977463;2787,84
63188;NULL;NULL;NULL;NULL
63192;33,52;12;9,3545580499;358,38
63197;NULL;NULL;NULL;NULL
63199;350,13;16;7,323;4781,2372
63203;153;21;6,1;2508,1967
63206;137,23;22;5,4036854278;2539,56
63208;NULL;NULL;NULL;NULL
63128;712,11;12;12,2619996808;5807,45
62162;301,5;12;9,632;3130,191
62949;841,55;22;5,4036854278;15573,63
63235;NULL;NULL;NULL;NULL
65278;113;20;5,281;2139,7463
