Contrat;Contrat Leaser;Affaire;Nature;Client;Leaser;EchÃ©ance Client < EchÃ©ance Leaser;EchÃ©ance client non facturÃ©e ;Facture Client < Facture leaser ;Facture Client impayÃ©e ;Facture Client < Loyer client;Duree;Montant;Echeance;Prochaine;Debut;Fin;Facture Materiel;Visa rentabilitÃ© Ã©chÃ©ance;RentabilitÃ© PrÃ©visionnelle;RentabilitÃ© Attendue;RentabilitÃ© RÃ©elle
2020869;CTR-033807/0001;002-74250;INTERNE;C'PRO Groupe;ACECOM;Non;Oui;Non;Non;Non;20;1082,7299804688;71,46;02/06/2016;02/03/2015;01/03/2020;2328693;Non;167,80 â‚¬ / 15.50 %;108,27 â‚¬ / 10.00 %;113,41 â‚¬ / 10.47 %
4062603;289830-C0;004-55782;INTERNE;C'PRO Groupe;LIXXBAIL MANDATE;Non;Oui;Non;Non;Non;13;16230,650390625;1468,43;01/07/2016;01/01/2015;31/03/2018;4884008;Non;2 495,94 â‚¬ / 15.38 %;1 623,07 â‚¬ / 10.00 %;-6 183,98 â‚¬ / -38.10 %
2020873;CTR-033717/0001;002-72635;INTERNE;C'PRO Groupe;ACECOM;Non;Oui;Non;Non;Non;16;24370,720703125;1731,54;01/07/2016;02/03/2015;31/03/2019;2328698;Non;627,90 â‚¬ / 2.58 %;2 437,07 â‚¬ / 10.00 %;-2 870,05 â‚¬ / -11.78 %
3076653;X0028853;003-74675;INTERNE;C'PRO Groupe;BNP PARIBAS LEASE GROUP MANDATE;Non;Oui;Non;Non;Non;21;4695,080078125;286,4;01/07/2016;09/03/2015;30/06/2020;3845993;Non;661,21 â‚¬ / 14.08 %;469,51 â‚¬ / 10.00 %;-1 188,44 â‚¬ / -25.31 %
4062729;CTR-033808/0001;004-73719;INTERNE;C'PRO Groupe;ACECOM;Non;Oui;Non;Non;Non;16;2142,1201171875;173,94;09/06/2016;09/03/2015;08/03/2019;4936158;Non;352,32 â‚¬ / 16.45 %;214,21 â‚¬ / 10.00 %;110,10 â‚¬ / 5.14 %
6605246;CTR-033809/0001;006-71984;INTERNE;C'PRO Groupe;ACECOM;Oui;Oui;Non;Non;Non;12;63779,9609375;5791,22;01/07/2016;10/03/2015;31/03/2018;6667595;Non;440,03 â‚¬ / 0.69 %;7 653,60 â‚¬ / 12.00 %;3 497,44 â‚¬ / 5.48 %
2020871;211304-F0;002-74548;INTERNE;C'PRO Groupe;LIXXBAIL MANDATE;Non;Oui;Non;Non;Non;19;7691,3901367188;489,33;01/07/2016;01/04/2015;31/12/2019;;Non;1 055,85 â‚¬ / 13.73 %;922,97 â‚¬ / 12.00 %;1 455,40 â‚¬ / 18.92 %
2020904;CTR-033810/0001;002-73728;INTERNE;C'PRO Groupe;ACECOM;Non;Oui;Non;Non;Non;21;2933,0300292969;180;11/06/2016;11/03/2015;10/06/2020;2329004;Non;341,05 â‚¬ / 11.63 %;293,30 â‚¬ / 10.00 %;81,00 â‚¬ / 2.76 %
2020909;222075-F0;002-74085;INTERNE;C'PRO Groupe;LIXXBAIL ADOSSE;Non;Oui;Non;Non;Non;20;3421,0500488281;195;01/07/2016;09/03/2015;31/03/2020;2328898;Non;84,88 â‚¬ / 2.48 %;342,11 â‚¬ / 10.00 %;-721,62 â‚¬ / -21.09 %
2020913;CTR-033812/0001;002-74974;INTERNE;C'PRO Groupe;ACECOM;Non;Oui;Non;Non;Non;20;1803,2800292969;121;01/07/2016;11/03/2015;31/03/2020;2329012;Non;345,89 â‚¬ / 19.18 %;180,33 â‚¬ / 10.00 %;106,64 â‚¬ / 5.91 %
2020938;X0019975;002-74339;INTERNE;C'PRO Groupe;BNP PARIBAS LEASE GROUP MANDATE;Non;Oui;Non;Non;Non;21;4325,080078125;255,18;01/07/2016;01/04/2015;30/06/2020;2329611;Non;363,11 â‚¬ / 8.40 %;519,01 â‚¬ / 12.00 %;-353,87 â‚¬ / -8.18 %
